ID,Imagen,Nombre,Referencia,EAN13,Categoría,Precio base,Precio final,Cantidad,Estado
5037,http://ilusionstore.es/img/p/5037.jpg,FIGURA HULK GEL CHAMPU,AV5946,'5013692225946',AVENGERS,6.850.000,6.85,0,1
5693,http://ilusionstore.es/img/p/5693.jpg,PUZZLE MADERA 6PZ MICKEY FRUTAS,MCK12645,'5205698112645',MICKEY,3.510.000,3.51,0,1
4984,http://ilusionstore.es/img/p/4984.jpg,GORRA SURTIDO 2 DISEÑOS (T52-54)  VENGADORES,AV2200-0997,'8427934797479',AVENGERS,2.600.000,2.6,0,1
5017,http://ilusionstore.es/img/p/5017.jpg,PIJAMA CORALINA VENGADORES,AV48055,'4037497248055',AVENGERS,8.950.000,8.95,0,1
4989,http://ilusionstore.es/img/p/4989.jpg,ZUECO VENGADORES,AV2300-0545,'',AVENGERS,2.900.000,2.9,0,1
8670,http://ilusionstore.es/img/p/8670.jpg,BOLSITO BAGUETTE MINNIE DISNEY,MN2100-0926,'8427934795376',MINNIE,3.500.000,3.5,1,1
8672,http://ilusionstore.es/img/p/8672.jpg,BOLSA PLAYA / PISCINA MINNIE DISNEY SUMMER,MN2100-1720,'',MINNIE,4.850.000,4.85,1,1
8674,http://ilusionstore.es/img/p/8674.jpg,BOLSITO ASAS PEQUEÑO PRINCESAS DISNEY,PR2100-0935,'',PRINCESAS DISNEY,30.000.000,30,0,1
8676,http://ilusionstore.es/img/p/8676.jpg,BOLSA PLAYA SOY LUNA DISNEY,SOY2100-1717,'',SOY LUNA,4.850.000,4.85,0,1
4983,http://ilusionstore.es/img/p/4983.jpg,GORRA SURTIDO 2 DISEÑOS (T52-54)  VENGADORES,AV2200-0994,'8427934797448',AVENGERS,2.700.000,2.7,0,1
4985,http://ilusionstore.es/img/p/4985.jpg,GORRA PREMIUM VENGADORES,AV2200-1017,'8427934797660',AVENGERS,3.990.000,3.99,0,1
4991,http://ilusionstore.es/img/p/4991.jpg,FIGURA TITAN HULK 30CM,AV2320,'5010994852320',AVENGERS,10.000.000,10,0,1
8671,http://ilusionstore.es/img/p/8671.jpg,BOLSITO SOLAPA MINNIE DISNEY FLOWERS,MN2100-0930,'',MINNIE,3.500.000,3.5,1,1
8673,http://ilusionstore.es/img/p/8673.jpg,BOLSITO SOLAPA PRINCESAS DISNEY SUMMER,PR2100-0931,'',PRINCESAS DISNEY,3.500.000,3.5,0,1
8675,http://ilusionstore.es/img/p/8675.jpg,BOLSA PLAYA / PISCINA SKY PAW PATROL GIRL,SKY2100-1714,'',PAW PATROL,4.850.000,4.85,1,1
8644,http://ilusionstore.es/img/p/8644-6498.jpg,ESTUCHE CON 2 CUBIERTOS MICKEY BABY PAINT POT,MCK98140,'8412497398140',MICKEY,1.850.000,1.85,0,1
9627,http://ilusionstore.es/img/p/9627-7715.jpg,BILLETERO VELCRO PRODIGIOSA LADYBUG DEFENDERS 9X12,BUG52972,'8435376352972',LADYBUG,3.950.000,3.95,12,1
8316,http://ilusionstore.es/img/p/8316-6159.jpg,PACK 3 CAMISETAS TROLLS MOVIE 100% COTTON (T4-6-8),TRO2200-1962,'8427934909780',TROLLS,16.350.000,16.35,0,1
6518,http://ilusionstore.es/img/p/6518-4425.jpg,SADWICHERA RECTANGULAR PRINCESAS TEA PARTY DISNEY,PR62749,'8412497562749',PRINCESAS DISNEY,1.450.000,1.45,0,1
8439,http://ilusionstore.es/img/p/8439-6281.jpg,TOALLA PLAYA MICRO SOY LUNA (70XC140CM.) 250GR.,SOY2200-2173,'8427934916610',SOY LUNA,4.650.000,4.65,8,1
5638,http://ilusionstore.es/img/p/5638-2798.jpg,BOLSA DE DEPORTE GUMBALL SPLASH,GUM52569,'8435376352569',GUMBALL,14.950.000,14.95,0,1
8570,http://ilusionstore.es/img/p/8570-6424.jpg,BANDOLERA CON SOLAPA ELENA DE AVALOR 17X15X4CM.,ELE28542,'8435465028542',ELENA DE AVALOR,4.950.000,4.95,0,1
9263,http://ilusionstore.es/img/p/9263-7359.jpg,PACK 12 ZAPATILLA FRANCESA AVENGERS (T-25 A 32),AV2300-2700,'8427934960958',AVENGERS,79.800.000,79.8,1,1
8004,http://ilusionstore.es/img/p/8004-5777.jpg,LADYBUG B. Heart Marinette,BUG07125,'8435376307125',LADYBUG,8.950.000,8.95,5,1
4982,http://ilusionstore.es/img/p/4982-2240.jpg,GORRO PREMIUM FULL PRINT AVENGERS,AV2200-0902,'8427934787906',AVENGERS,3.650.000,3.65,0,1
7128,http://ilusionstore.es/img/p/7128-4771.jpg,BOLSA DE PLAYA PREMIUM SOY LUNA DISNEY,SOY2100-1502,'8427934826544',SOY LUNA,4.850.000,4.85,0,1
7499,http://ilusionstore.es/img/p/7499-5268.jpg,MOCHILA ADAPTABLE 28CM SPIDERMAN MARVEL,SP95638,'8435306295638',SPIDERMAN,9.500.000,9.5,0,1
9415,http://ilusionstore.es/img/p/9415-7508.jpg,SET INVIERNO 3 PZ GORRO+BUFANDA+GUANTES SPIDERMAN,SP85734,'8435333885734',SPIDERMAN,5.950.000,5.95,47,1
7811,http://ilusionstore.es/img/p/7811-5558.jpg,PACK 4 PIJAMAS ALGODON SKYE (T2-3/3-4/4-5/5-6),SKY26468,'5991328326468',SKYE,31.000.000,31,0,1
5825,http://ilusionstore.es/img/p/5825-2941.jpg,BOLSA VIAJE MICKEY PLAY DISNEY,MCK91876,'8435306291876',MICKEY,10.950.000,10.95,0,1
9691,http://ilusionstore.es/img/p/9691-7781.jpg,MOCHILA 3D CON LUZ Y SONIDO MINNIE DISNEY 30X24X9,MN2100-2161,'8427934172603',MINNIE,12.950.000,12.95,6,1
8834,http://ilusionstore.es/img/p/8834-6737.jpg,Mochila HarryPotter Hogwarts adaptable 42x30x220cm,HP36194,'8435376336194',HARRY POTTER,16.950.000,16.95,0,1
6632,http://ilusionstore.es/img/p/6632-4335.jpg,PUZZLE 200 PIEZAS SOY LUNA DISNEY,SOY68074,'8412668168074',SOY LUNA,5.800.000,5.8,0,1
6857,http://ilusionstore.es/img/p/6857-4171.jpg,TROLLEY-MOCHILA 2R.STAR WARS SOLIDERS DISNEY,SW96376,'8435306296376',STAR WARS,28.950.000,28.95,0,1
9327,http://ilusionstore.es/img/p/9327-7420.jpg,PACK 12 ZAPATILLAS BOTA CASA PAW PATROL(T-21 A 28),PAW2300-2685,'8427934960408',PAW PATROL,83.400.000,83.4,1,1
7642,http://ilusionstore.es/img/p/7642-5425.jpg,GYM SAC SOY LUNA ROLLER ZONE DISNEY,SOY07592,'8435465007592',SOY LUNA,3.950.000,3.95,6,1
5120,http://ilusionstore.es/img/p/5120-2362.jpg,SACO 41CM. BATMAN VS SUPERMAN,BVS52651,'8435376352651',BATMAN V SUPERMAN,5.950.000,5.95,0,1
6339,http://ilusionstore.es/img/p/6339-4523.jpg,PELUCHE MOCHILA ZUMA PATRULLA CANINA 38CM,PAW41636,'8426842041636',PAW PATROL,10.980.000,10.98,0,1
5340,http://ilusionstore.es/img/p/5340-2547.jpg,GORRO PREMIUN ANA FROZEN,FZ2200-0521,'8427934765430',FROZEN,3.950.000,3.95,0,1
7889,http://ilusionstore.es/img/p/7889-5629.jpg,BOLSO MOON GRANDE BETTY BOOP FLORENCE,BB58837,'8435376358837',BETTY BOOP,12.950.000,12.95,0,1
5970,http://ilusionstore.es/img/p/5970-3955.jpg,PORTATODO TRIPLE MINIONS SELFIE,MIN53429,'8435376353429',MINIONS,5.950.000,5.95,4,1
8969,http://ilusionstore.es/img/p/8969-7044.jpg,FIGURA GOOFY DISNEY PVC 7X5CM.,MCK23704,'8435035223704',MICKEY,2.650.000,2.65,22,1
6131,http://ilusionstore.es/img/p/6131-4678.jpg,BOLSA DE DEPORTE MINNIE INFANTIL SWEET DISNEY,MN51197,'8435376351197',MINNIE,14.950.000,14.95,0,1
8900,http://ilusionstore.es/img/p/8900-6839.jpg,MOCHILA ESCOLAR FUTBOL CLUB BARCELONA 43X32CM.,FUT92598,'3831115192598',FUTBOL,16.990.000,16.99,23,1
8719,http://ilusionstore.es/img/p/8719-6578.jpg,PACK 8 DEPORTIVAS PASCUERAS MINNIE (T- 24 A 314),MN2300-0615,'',MINNIE,78.800.000,78.8,0,1
7283,http://ilusionstore.es/img/p/7283-5036.jpg,MOCHILA SKYE BASICA 28CM. PAW PATROL GIRL,SKY80155,'8422535880155',SKYE,3.150.000,3.15,0,1
9509,http://ilusionstore.es/img/p/9509-7600.jpg,SET INVIERNO 2 PZ GORRO + GUANTES PJ MASK,PJ2200-2562,'8427934966264',PJ MASK,4.250.000,4.25,7,1
8470,http://ilusionstore.es/img/p/8470-6311.jpg,PACK 8 CHANCLAS PLAYA STAR WARS DISNEY (T 28 A 37),SW2300-2364,'8427934913527',STAR WARS,12.800.000,12.8,2,1
7726,http://ilusionstore.es/img/p/7726-5523.jpg,BOLSA DE DEPORTE POCKET CUTE MY LITTLE PONY,PON39371,'8435376939371',MY LITTLE PONY,15.950.000,15.95,1,1
6475,http://ilusionstore.es/img/p/6475-4442.jpg,BOLSO MUFFIN MINI PUPPIES THE SECRET LIFE OF PETS,PET54907,'8435376354907',THE SECRET LIFE OF PETS,6.950.000,5.21,0,1
9150,http://ilusionstore.es/img/p/9150-7242.jpg,VASO FIGURITA 3D 360ML. MINIONS RULES,MIN61661,'8412497761661',MINIONS,2.700.000,2.7,22,1
9081,http://ilusionstore.es/img/p/9081-7173.jpg,MALETA TROLLEY LADYBUG DEFENDER 46.5X33X17CM.,BUG55225,'8435376355225',LADYBUG,24.950.000,24.95,7,1
8611,http://ilusionstore.es/img/p/8611-6465.jpg,MERENDERO TERMICO SOY LUNA SUPERLIKE 21X15X10 CM.,SOY27093,'8435376327093',SOY LUNA,8.950.000,8.95,0,1
8798,http://ilusionstore.es/img/p/8798-6684.jpg,PLUMIER TRIPLE RELLENO SOY LUNA DISNES GIOTTO,SOY2700-0193,'8427934943708',SOY LUNA,9.950.000,9.95,4,1
8283,http://ilusionstore.es/img/p/8283-6126.jpg,BOLSO MUFFIN MINI SKYE JOLLY PAW GIRL,SKY01956,'8435376301956',SKYE,6.950.000,6.95,5,1
7373,http://ilusionstore.es/img/p/7373-5155.jpg,PAW PATROL MERENDEROO CUADRADO TEAM,PAW35342,'8435376935342',PAW PATROL,9.450.000,9.45,0,1
